prov,latitude,longitude,source
gbif,19.83007,-101.609413,gbif
gbif,19.157203,-98.213065,gbif
gbif,19.324571,-99.178106,gbif
gbif,19.323075,-99.192334,gbif
gbif,20.118026,-98.360362,gbif
gbif,19.637169,-101.12091,gbif
gbif,21.865673,-103.938427,gbif
gbif,20.115677,-98.838539,gbif
gbif,23.582816,-99.748821,gbif
gbif,19.329632,-98.891772,gbif
gbif,20.527961,-100.811288,gbif
gbif,19.941959,-103.777418,gbif
gbif,19.668571,-101.177642,gbif
gbif,19.790497,-99.244298,gbif
gbif,19.261389,-99.180833,gbif
gbif,19.788196,-99.242751,gbif
gbif,19.77666,-99.20929,gbif
gbif,19.249528,-99.141678,gbif
gbif,19.776068,-99.209632,gbif
gbif,19.478735,-101.361406,gbif
gbif,19.157179,-98.213116,gbif
gbif,21.475178,-100.90093,gbif
gbif,30.428264,-110.665564,gbif
gbif,19.669266,-101.172512,gbif
gbif,19.807695,-99.204462,gbif
gbif,19.602938,-99.109993,gbif
gbif,19.776558,-99.258287,gbif
gbif,19.629063,-101.212746,gbif
gbif,19.613684,-101.211487,gbif
gbif,19.592153,-99.089936,gbif
gbif,20.548133,-100.354355,gbif
gbif,20.554037,-100.359903,gbif
gbif,18.996202,-97.829039,gbif
gbif,19.32769,-99.174772,gbif
gbif,19.8561,-101.258286,gbif
gbif,19.855914,-101.258341,gbif
gbif,19.855833,-101.258056,gbif
gbif,25.354181,-100.346275,gbif
gbif,19.077317,-97.713415,gbif
gbif,19.817108,-98.597832,gbif
gbif,20.815751,-100.532181,gbif
gbif,18.934597,-98.130547000000007,gbif
gbif,18.934408,-98.129666,gbif
gbif,18.891768,-98.290884,gbif
gbif,19.593017,-99.061195,gbif
gbif,19.593174,-99.090555,gbif
gbif,19.591775,-99.068946,gbif
gbif,19.888907,-99.093108,gbif
gbif,20.207922,-99.998428,gbif
gbif,20.120597,-99.806615,gbif
gbif,20.120637,-99.806763,gbif
gbif,20.206072,-99.998863,gbif
gbif,23.871412,-104.658129,gbif
gbif,19.478918,-101.360569,gbif
gbif,20.737027,-100.564753,gbif
gbif,19.669075,-101.178118,gbif
gbif,19.976474,-99.162064,gbif
gbif,19.728183,-101.117091,gbif
gbif,20.67822,-99.798952,gbif
gbif,20.523587,-100.387352,gbif
gbif,20.27177,-98.510258,gbif
gbif,20.499483,-100.31208,gbif
gbif,20.323191,-100.139289,gbif
gbif,20.554092,-100.359383,gbif
gbif,19.587048,-101.614063,gbif
gbif,19.328344,-99.233856,gbif
gbif,20.066944,-99.590833,gbif
gbif,19.485038,-101.358052,gbif
gbif,19.99331,-100.754817,gbif
gbif,19.993242,-100.75495,gbif
gbif,19.744743,-98.845184,gbif
gbif,20.808981,-100.528657,gbif
gbif,19.838062,-102.347277,gbif
gbif,23.965302,-104.73514,gbif
gbif,18.585358,-99.672403,gbif
gbif,19.336123,-97.445396,gbif
gbif,22.779658,-102.544168,gbif
gbif,19.747826,-98.812096,gbif
gbif,22.777706,-102.56488,gbif
gbif,18.878319,-98.263024,gbif
gbif,22.0938,-102.554588,gbif
gbif,22.777757,-102.564295,gbif
gbif,19.583295,-99.104711,gbif
gbif,20.334864,-100.12466,gbif
gbif,20.806262,-100.510313,gbif
gbif,21.436945,-102.587372,gbif
gbif,19.993295,-100.754568,gbif
gbif,19.993283,-100.754573,gbif
gbif,19.993275,-100.754562,gbif
gbif,19.993277,-100.75457,gbif
gbif,19.992677,-100.596563,gbif
gbif,20.874855,-99.66084,gbif
gbif,18.875194,-98.284942,gbif
gbif,19.99285,-100.754852,gbif
gbif,19.9928,-100.755118,gbif
gbif,19.99317,-100.754513,gbif
gbif,19.993312,-100.754568,gbif
gbif,19.993233,-100.75454,gbif
gbif,19.993337,-100.75452,gbif
gbif,21.877153,-102.422775,gbif
gbif,21.877328,-102.422853,gbif
gbif,21.162601,-102.810694,gbif
gbif,17.464633,-97.418659,gbif
gbif,20.802369,-99.640234,gbif
gbif,20.825895,-102.370705,gbif
gbif,20.164444,-98.969167,gbif
gbif,20.027237,-99.149192,gbif
gbif,20.433429,-99.231336,gbif
gbif,20.641533,-101.704413,gbif
gbif,19.259179,-97.930832,gbif
gbif,22.09285,-100.968437,gbif
gbif,20.665161,-100.110554,gbif
gbif,20.918192,-100.728192,gbif
gbif,19.591551,-99.072187,gbif
gbif,20.690924,-99.836571,gbif
gbif,19.59265,-99.075273,gbif
gbif,20.668209,-100.112121,gbif
gbif,21.013933,-101.232407,gbif
gbif,19.056782,-98.483677,gbif
gbif,20.223839,-98.620246,gbif
gbif,20.230676,-98.628277,gbif
gbif,20.687557,-99.833254,gbif
gbif,20.688503,-99.83525,gbif
gbif,19.322779,-99.192341,gbif
gbif,19.738593,-98.844182,gbif
gbif,20.239757,-99.793501,gbif
gbif,22.091632,-101.942093,gbif
gbif,19.338112,-98.97169,gbif
gbif,20.695605,-100.514255,gbif
gbif,19.978955,-100.237953,gbif
gbif,19.998417,-100.230133,gbif
gbif,21.899024,-101.656081,gbif
gbif,20.912606,-100.778333,gbif
gbif,21.450388,-100.131355,gbif
gbif,19.26397,-99.204643,gbif
gbif,20.076077,-98.722232,gbif
gbif,19.311372,-99.195258,gbif
gbif,21.00813,-101.172075,gbif
gbif,23.1162,-102.985641,gbif
gbif,20.634699,-99.815848,gbif
gbif,20.858983,-100.923867,gbif
gbif,17.733196,-97.494797,gbif
gbif,20.763014,-100.532685,gbif
gbif,22.831803,-102.545581,gbif
gbif,22.833741,-102.546095,gbif
gbif,21.303528,-99.872132,gbif
gbif,19.021845,-97.630934,gbif
gbif,17.664052,-97.266521,gbif
gbif,22.232839,-102.44371,gbif
gbif,19.612335,-97.974255,gbif
gbif,22.132758,-100.607405,gbif
gbif,19.021136,-97.632499,gbif
gbif,20.165422,-100.649048,gbif
gbif,19.016784,-97.637998,gbif
gbif,19.020865,-97.637556,gbif
gbif,21.173471,-102.885479,gbif
gbif,21.170113,-103.040982,gbif
gbif,19.316369,-99.190996,gbif
gbif,21.938602,-100.581376,gbif
