name,longitude,latitude,scientificName,year,month,day,eventDate,individualCount,elevation,stateProvince,countryCode
Asclepias linaria Cav.,-110.75649,32.37076,Asclepias linaria Cav.,2019,10,5,2019-10-05,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.75786,32.371,Asclepias linaria Cav.,2019,10,5,2019-10-05,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.86693,32.41124,Asclepias linaria Cav.,2019,11,30,2019-11-30,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.88226,32.42007,Asclepias linaria Cav.,2019,11,30,2019-11-30,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.85594,32.41078,Asclepias linaria Cav.,2019,11,30,2019-11-30,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.883433,32.420149,Asclepias linaria Cav.,2019,11,30,2019-11-30,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.647751,32.226236,Asclepias linaria Cav.,2019,12,31,2019-12-31,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.758271,32.357753,Asclepias linaria Cav.,2019,12,20,2019-12-20,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.75824,32.35755,Asclepias linaria Cav.,2019,12,20,2019-12-20,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.75824,32.357606,Asclepias linaria Cav.,2019,12,20,2019-12-20,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.641778,32.227062,Asclepias linaria Cav.,2018,4,21,2018-04-21,NA,NA,Arizona,US
Asclepias linaria Cav.,-112.697847,32.016041,Asclepias linaria Cav.,2018,4,7,2018-04-07,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.270278,31.337778,Asclepias linaria Cav.,2018,4,10,2018-04-10,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.693416,32.336951,Asclepias linaria Cav.,2018,6,25,2018-06-25,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.886694,31.741531,Asclepias linaria Cav.,2018,7,30,2018-07-30,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.918,32.362503,Asclepias linaria Cav.,2018,8,28,2018-08-28,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.88693,31.741402,Asclepias linaria Cav.,2018,9,12,2018-09-12,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.685306,32.337111,Asclepias linaria Cav.,2018,9,21,2018-09-21,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.573593,32.305415000000004,Asclepias linaria Cav.,2018,11,24,2018-11-24,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.85851,32.353243,Asclepias linaria Cav.,2017,4,5,2017-04-05,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.253776,31.345865,Asclepias linaria Cav.,2017,4,11,2017-04-11,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.261627,31.340933,Asclepias linaria Cav.,2017,4,11,2017-04-11,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.730618,32.356621,Asclepias linaria Cav.,2017,5,1,2017-05-01,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.731919,32.355778,Asclepias linaria Cav.,2017,5,1,2017-05-01,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.747457,32.34724,Asclepias linaria Cav.,2017,5,2,2017-05-02,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.748423,32.347529,Asclepias linaria Cav.,2017,5,2,2017-05-02,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.701186,32.325919,Asclepias linaria Cav.,2017,5,16,2017-05-16,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.701325,32.325692,Asclepias linaria Cav.,2017,5,16,2017-05-16,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.701003,32.325611,Asclepias linaria Cav.,2017,5,16,2017-05-16,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.701111,32.325686,Asclepias linaria Cav.,2017,5,16,2017-05-16,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.701028,32.3257,Asclepias linaria Cav.,2017,5,16,2017-05-16,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.701064,32.325711,Asclepias linaria Cav.,2017,5,16,2017-05-16,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.701278,32.326008,Asclepias linaria Cav.,2017,5,16,2017-05-16,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.701431,32.325822,Asclepias linaria Cav.,2017,5,16,2017-05-16,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.701019,32.325638,Asclepias linaria Cav.,2017,5,16,2017-05-16,NA,NA,Arizona,US
Asclepias linaria Cav.,-111.161598,33.260239,Asclepias linaria Cav.,2017,5,22,2017-05-22,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.697126,32.337682,Asclepias linaria Cav.,2017,6,6,2017-06-06,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.70121,32.325809,Asclepias linaria Cav.,2017,6,13,2017-06-13,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.701286,32.325775,Asclepias linaria Cav.,2017,6,13,2017-06-13,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.856066,33.826525,Asclepias linaria Cav.,2017,6,10,2017-06-10,NA,982,Arizona,US
Asclepias linaria Cav.,-111.195817,31.412203,Asclepias linaria Cav.,2016,1,24,2016-01-24,NA,NA,Arizona,US
Asclepias linaria Cav.,-111.196106,31.407222,Asclepias linaria Cav.,2016,1,24,2016-01-24,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.696461,32.163098,Asclepias linaria Cav.,2016,4,20,2016-04-20,NA,NA,Arizona,US
Asclepias linaria Cav.,-112.698541,32.013595,Asclepias linaria Cav.,2016,12,7,2016-12-07,NA,NA,Arizona,US
Asclepias linaria Cav.,-109.519417,31.610083,Asclepias linaria Cav.,2015,4,23,2015-04-23,NA,1590,Arizona,US
Asclepias linaria Cav.,-109.519417,31.610083,Asclepias linaria Cav.,2015,4,24,2015-04-24,NA,1590,Arizona,US
Asclepias linaria Cav.,-110.25718,31.339361,Asclepias linaria Cav.,2015,6,24,2015-06-24,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.571111,32.153071,Asclepias linaria Cav.,2015,6,3,2015-06-03,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.87192,33.81873,Asclepias linaria Cav.,2015,8,14,2015-08-14,NA,1311,Arizona,US
Asclepias linaria Cav.,-110.255518,31.338791,Asclepias linaria Cav.,2015,9,17,2015-09-17,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.257892,31.350951,Asclepias linaria Cav.,2015,9,15,2015-09-15,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.487595,32.89701,Asclepias linaria Cav.,2014,4,2,2014-04-02,NA,NA,Arizona,US
Asclepias linaria Cav.,-109.520447,31.610367,Asclepias linaria Cav.,2014,9,26,2014-09-26,NA,1540,Arizona,US
Asclepias linaria Cav.,-110.92451,31.56963,Asclepias linaria Cav.,2013,9,13,2013-09-13,NA,1209,Arizona,US
Asclepias linaria Cav.,-111.055083,33.3159,Asclepias linaria Cav.,2012,7,24,2012-07-24,NA,4000,Arizona,US
Asclepias linaria Cav.,-111.5985,31.959333,Asclepias linaria Cav.,2012,7,29,2012-07-29,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.887998,32.423137,Asclepias linaria Cav.,2009,4,19,2009-04-19,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.016405,33.012742,Asclepias linaria Cav.,2007,9,23,2007-09-23,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.70071,32.326792,Asclepias linaria Cav.,2006,9,4,2006-09-04,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.6853,32.337083,Asclepias linaria Cav.,2005,4,27,2005-04-27,NA,1445,Arizona,US
Asclepias linaria Cav.,-110.693,32.3333,Asclepias linaria Cav.,2002,10,4,2002-10-04,NA,NA,Arizona,US
Asclepias linaria Cav.,-111.459,33.4407,Asclepias linaria Cav.,1999,4,16,1999-04-16,NA,1067,Arizona,US
Asclepias linaria Cav.,-111.459,33.4407,Asclepias linaria Cav.,1999,4,16,1999-04-16,NA,1067,Arizona,US
Asclepias linaria Cav.,-111.5561,31.7725,Asclepias linaria Cav.,1999,5,6,1999-05-06,NA,NA,Arizona,US
Asclepias linaria Cav.,-111.3,33.5417,Asclepias linaria Cav.,1998,1,12,1998-01-12,NA,853,Arizona,US
Asclepias linaria Cav.,-110.653333,32.26,Asclepias linaria Cav.,1998,4,13,1998-04-13,6,1200,Arizona,US
Asclepias linaria Cav.,-109.863,33.1786,Asclepias linaria Cav.,1998,5,20,1998-05-20,NA,1250,Arizona,US
Asclepias linaria Cav.,-110.304,32.8962,Asclepias linaria Cav.,1998,5,22,1998-05-22,NA,1493.5,Arizona,US
Asclepias linaria Cav.,-110.304,32.8962,Asclepias linaria Cav.,1998,5,22,1998-05-22,NA,1493.5,Arizona,US
Asclepias linaria Cav.,-110.18,32.9546,Asclepias linaria Cav.,1998,5,20,1998-05-20,NA,1250,Arizona,US
Asclepias linaria Cav.,-110.699444,32.326389,Asclepias linaria Cav.,1998,9,13,1998-09-13,3,950,Arizona,US
Asclepias linaria Cav.,-109.406,32.9598,Asclepias linaria Cav.,1998,9,6,1998-09-06,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.72,32.3,Asclepias linaria Cav.,1998,9,6,1998-09-06,NA,842,Arizona,US
Asclepias linaria Cav.,-110.921,32.5,Asclepias linaria Cav.,1998,10,3,1998-10-03,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.695,32.3304,Asclepias linaria Cav.,1997,7,27,1997-07-27,NA,NA,Arizona,US
Asclepias linaria Cav.,-111.66667,32.33333,Asclepias linaria Cav.,1997,7,27,1997-07-27,NA,NA,Arizona,US
Asclepias linaria Cav.,-111.399,33.5312,Asclepias linaria Cav.,1996,3,15,1996-03-15,NA,853,Arizona,US
Asclepias linaria Cav.,-110.799,33.0712,Asclepias linaria Cav.,1993,11,16,1993-11-16,NA,1271,Arizona,US
Asclepias linaria Cav.,-111.112464,31.507539,Asclepias linaria Cav.,1992,5,12,1992-05-12,NA,1418,Arizona,US
Asclepias linaria Cav.,-110.265,31.3439,Asclepias linaria Cav.,1991,5,16,1991-05-16,NA,1905,Arizona,US
Asclepias linaria Cav.,-111.096,33.2939,Asclepias linaria Cav.,1991,5,19,1991-05-19,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.677975,32.327711,Asclepias linaria Cav.,1991,8,14,1991-08-14,NA,1250,Arizona,US
Asclepias linaria Cav.,-110.678,32.3304,Asclepias linaria Cav.,1991,8,14,1991-08-14,NA,NA,Arizona,US
Asclepias linaria Cav.,-111.71369,32.32533,Asclepias linaria Cav.,1991,8,14,1991-08-14,NA,580,Arizona,US
Asclepias linaria Cav.,-110.9521,31.6731,Asclepias linaria Cav.,1991,10,12,1991-10-12,NA,1463,Arizona,US
Asclepias linaria Cav.,-110.265,31.3439,Asclepias linaria Cav.,1990,7,15,1990-07-15,NA,1752.5,Arizona,US
Asclepias linaria Cav.,-110.265,31.3439,Asclepias linaria Cav.,1990,9,16,1990-09-16,NA,1829,Arizona,US
Asclepias linaria Cav.,-111.194778,31.409617,Asclepias linaria Cav.,1987,10,22,1987-10-22,NA,1158,Arizona,US
Asclepias linaria Cav.,-111.08389,31.512503,Asclepias linaria Cav.,1987,10,21,1987-10-21,NA,1164,Arizona,US
Asclepias linaria Cav.,-111.581,31.7616,Asclepias linaria Cav.,1985,9,13,1985-09-13,NA,1524,Arizona,US
